,degree,weighted_degree,closeness,betweeness,pagerank
phillipkallen,61,61,0.39686031396860316,0.05625239917667807,0.013251263528462412
johnjlavorato,107,107,0.4214718063077413,0.21296716766311233,0.023385170388690174
randalllgay,24,24,0.33770101250744494,0.01040916941281992,0.005941012063014813
keithholst,12,12,0.33770101250744494,0.0006526602060180913,0.005192882603400861
davidwdelainey,61,61,0.39977840451248997,0.049431936378257685,0.016076750097183748
jeffreythodge,37,37,0.3869741139765027,0.01987047303591519,0.015036052422349115
jamesdsteffes,37,37,0.3565236918931058,0.010005306643811922,0.006258929661618151
paultlucci,15,15,0.32171516576153036,0.0014765710615810218,0.005686348813026778
torikuykendall,30,30,0.3325373884629886,0.005400221185899848,0.0069684482838556095
thomasamartin,12,12,0.33770101250744494,0.0018524675506984645,0.006135532240307648
mikegrigsby,50,50,0.37367603445840986,0.03058317773448847,0.011317908047263027
jayreitmeyer,21,21,0.33051588458175457,0.002628595227217289,0.006151221974499539
frankermis,14,14,0.32171516576153036,6.730338626890352e-05,0.005113476483162776
cooperrichey,8,8,0.3045930701047542,0.0001357895668189152,0.0036364257382791175
matthewlenhart,34,34,0.3265457238059978,0.007449847170831115,0.008700891286396426
mattsmith,7,7,0.28843428654482034,0.0003189019830125884,0.002947667108574534
janemtholt,24,24,0.32752929526324476,0.006236770226572295,0.007108829623730999
stevenpsouth,12,12,0.32781187756595265,0.0,0.006749528145780979
huntersshively,44,44,0.3802088322636268,0.04287630364424645,0.01556574252759287
fletcherjsturm,33,33,0.39398451459201905,0.01373326642815099,0.009247251085513815
robertbadeer,14,14,0.34630485995986393,0.010883501865878787,0.005978827377063732
moniquesanchez,30,30,0.33051588458175457,0.00892614465903399,0.005373518307585021
stanleyhorton,23,23,0.3265457238059978,0.016531897079669376,0.006041983424358939
susanmscott,29,29,0.341948823985526,0.01991171465441023,0.008291104189706099
barrytycholiz,26,26,0.3723963220116345,0.011371806703877087,0.007311739989075782
jeffdasovich,42,42,0.3519084984705413,0.030201836898345977,0.007218626429934126
maryhain,39,39,0.33665549853683363,0.06667162474768251,0.007863627225521263
richardbsanders,46,46,0.3954171855541719,0.03245287260206481,0.012070974072308808
richardshapiro,33,33,0.363678013469556,0.006570082654975946,0.007312549521326744
stevenjkean,45,45,0.3775684931506849,0.016491691294181987,0.008789678050234336
markwhitt,22,22,0.33152355496157704,0.006733171216779408,0.008587872399728124
sallybeck,46,46,0.36006531797151414,0.04343778172126383,0.008851268320037138
jonathanmckay,9,9,0.34964542130995907,0.0016295915026109764,0.005047201025053862
andyzipper,17,17,0.3441130570487255,0.001782174138071496,0.006186548110323092
scottneal,48,48,0.3673639392817475,0.036951120729008455,0.008996226542476863
johnarnold,40,40,0.3749645725082664,0.01482581235371398,0.01244146506642238
jeffreyashankman,46,46,0.3842393145844426,0.011486074285626861,0.011486889720424574
kevinmpresto,37,37,0.3828863592513988,0.035173528192315215,0.011208533905763358
gregwhalley,34,34,0.3612615482637783,0.003504121291641188,0.010443588849565926
louisekitchen,66,66,0.4057452463708853,0.05228616498198604,0.024421514276288615
dutchquigley,15,15,0.3441130570487255,0.005247593269856147,0.007821131871586649
jimschwieger,16,16,0.3325373884629886,0.0032302558775378454,0.004930591069428462
mikemaggi,7,7,0.316103854730806,0.0,0.003471930780719138
larrymay,19,19,0.3245961970967082,0.0029826457787330285,0.004056295585417133
peterfkeavey,18,18,0.3245961970967082,0.0025063358592880497,0.004615766172708468
vincejkaminski,48,48,0.34964542130995907,0.03366374934722692,0.012618812456499314
jeffskilling,21,21,0.33770101250744494,0.0076512113174521,0.007141566181515249
sandrafbrawner,12,12,0.3255680419981954,0.0007879147572584104,0.0041059434601988755
harryarora,11,11,0.32171516576153036,6.238237697850358e-05,0.005345474779871444
markehaedicke,41,41,0.3723963220116345,0.011738235900250202,0.011126458750704912
mikeswerzbin,9,9,0.35751651372079624,0.0,0.004487922949935849
johnzufferli,6,6,0.33051588458175457,0.001391678182986386,0.0037168126676348397
mattmotley,7,7,0.33578298705083903,0.0,0.005057847994480344
seancrandall,5,5,0.31337096837866646,0.0,0.0025518656656332165
johnmforney,17,17,0.3255680419981954,0.03348090959747725,0.00485594693091072
ericbass,24,24,0.33665549853683363,0.004780710570152353,0.006133252131994904
phillipmlove,26,26,0.2979170576093076,0.006214920783009295,0.005834568384376368
danjhyvl,28,28,0.3398116438356164,0.013752257026904554,0.01185613847781431
darroncgiron,20,20,0.3285188097504449,0.007583229479295083,0.006561753573335033
jasonwolfe,8,8,0.29857460199925956,0.0,0.004764600238843186
martincuilla,23,23,0.318884827059816,0.0034780086068095036,0.003977732915578453
chrisdorland,15,15,0.31518761167361525,0.02920870021621746,0.0073434755919566715
jeffking,8,8,0.31157514621030735,0.007471619412646535,0.005166869568851297
robertbenson,4,4,0.3077231274087076,0.0,0.0033790162107778074
mikecarson,10,10,0.31427666481906724,0.0030804566595871116,0.004531325612683905
clintdean,5,5,0.31971275806892246,0.0,0.004982738908861829
tomdonohoe,7,7,0.318884827059816,8.536022478059489e-05,0.0039379115258273735
chrisgermany,30,30,0.3285188097504449,0.021646659255912533,0.009729804733474375
scotthendrickson,7,7,0.3045930701047542,0.0002708927508862544,0.0030511376773451233
juanhernandez,6,6,0.312470477090222,0.007734726810535425,0.004415634299027672
andrewhlewis,7,7,0.31427666481906724,0.0002362702477332924,0.0032166187228321263
bradmckay,13,13,0.32781187756595265,0.0,0.04110007350160556
patricelmims,14,14,0.32266981017031826,0.001555355496370235,0.0070705200517482995
joeparks,1,1,0.28694182529798967,0.0,0.001614955209773093
susanwpereira,7,7,0.30630908740111906,0.00042646656382349816,0.003336286754551373
vladipimenov,2,2,0.29696936220356457,0.0,0.0018698692936746308
joequenet,4,4,0.2987355110642782,0.0,0.0036836760753314493
andrearing,14,14,0.3207661534731483,0.003436716847060168,0.0032820908003427145
kevinruscitti,16,16,0.3265457238059978,0.010978700367601896,0.013742855633929081
ericsaibi,4,4,0.284658968658108,8.285993082381127e-05,0.002808689711811768
dianascholtes,7,7,0.31427666481906724,0.009857122737546974,0.004721034612158724
geoffstorey,10,10,0.33665549853683363,0.0016886671222371558,0.006292539490437387
judytownsend,5,5,0.30205479452054795,0.0,0.0026151732894731153
billwilliamsiii,25,25,0.319822723609992,0.04980528230239978,0.0072769150501440436
staceywwhite,16,16,0.3255680419981954,0.018950556352637173,0.003530320045717416
danadavis,8,8,0.34308261720411815,0.0,0.0256914776713371
kamkeiser,12,12,0.31427666481906724,0.0008754017679671331,0.004315439975113903
mikemcconnell,31,31,0.3245961970967082,0.01454560413684326,0.007625309417836968
rickbuy,21,21,0.33665549853683363,0.0014852930665724515,0.00731336507226125
judyhernandez,1,1,0.2575118944981959,0.0,0.00159712518672228
darenjfarmer,11,11,0.3071743673090318,0.0022236114833465203,0.0030773794603882213
robinrodrigue,11,11,0.2773972602739726,0.0012320212509393887,0.002526874918731167
jasonwilliams,8,8,0.30544866861628445,5.8440805960881526e-05,0.006932306938319438
theresastaab,12,12,0.3207661534731483,0.0016202136095302187,0.006192227791290191
rodhayslett,17,17,0.3089196762141968,0.012774275949465631,0.01037822851820338
lynnblair,8,8,0.2505523641184269,1.8557257574735136e-05,0.0032212263379859866
shelleycorman,33,33,0.32951432129514324,0.03240033148407802,0.007549297257171203
teblokey,4,4,0.2741255651109827,0.0,0.0031521525050455398
lindydonoho,15,15,0.26651893634165996,0.007996077577429605,0.009884147279878255
larryfcampbell,8,8,0.20174346201743462,0.007891690215547928,0.008964435638960386
larrycampbell,5,5,0.2095177765460448,0.0016773623870444958,0.003235890421072731
kevinhyatt,18,18,0.27598915235380017,0.020917371492270923,0.009154041961962721
joestepenovitch,6,6,0.23690572119258665,0.002194498131430981,0.009924324203288794
pauldthomas,4,4,0.2328473790736558,0.0030506461316049858,0.0020399149140567577
benjaminrogers,9,9,0.29548838594401433,0.01997193669452453,0.004993496416758953
michellecash,20,20,0.32171516576153036,0.001838119249938673,0.0062597714755160405
dannymccarty,10,10,0.3028961727782653,0.00012086324892125752,0.005763161220255815
elizabethsager,36,36,0.3698630136986301,0.02726852230808248,0.010155987280815749
susanscott,23,23,0.312470477090222,0.016496529648068553,0.007709117680058991
drewfossum,27,27,0.29955847390467566,0.01643459024214001,0.007737132899091376
stevenharris,13,13,0.27881981032665965,0.0007613285899545792,0.006690910690070471
michellelokay,15,15,0.2802570258438074,0.0021472307212578785,0.008163596858594914
darrellschoolcraft,8,8,0.25406478043784403,0.0,0.008539200409463692
chrisstokley,5,5,0.28844021603061626,0.0,0.003295293460691611
craigdean,3,3,0.23706567111529192,0.0002786962683042041,0.0020020889407277066
kennethlay,7,7,0.31836484939402315,0.0,0.004065935017976033
stacyedickson,16,16,0.31518761167361525,0.004348320137858642,0.006786413560091202
sarashackleton,29,29,0.312470477090222,0.0076425729389407,0.007906002730792033
debraperlingiere,30,30,0.3207661534731483,0.011654012099567776,0.010746111249567482
kimberlywatson,10,10,0.28170913478600323,0.0023249273437886686,0.004132312688475448
robggay,1,1,0.24604143149159474,0.0,0.0017671711409777845
tracygeaccone,7,7,0.2652188439692616,0.00036557813038320085,0.0028321985575383507
johnhodge,10,10,0.27459526774595266,0.0009021167694337928,0.00287951767345203
markguzman,18,18,0.24435893489302757,0.005458201051232084,0.005067729123109182
katesymes,27,27,0.24490929285449833,0.022599342829468818,0.006660065526915964
ryanslinger,6,6,0.2488230112687179,0.0,0.004709421489947443
holdensalisbury,9,9,0.23794250771859357,0.00041722045265413834,0.0031310391189761154
carasemperger,18,18,0.2534725548424179,0.02631239271455124,0.006120729539919819
geirsolberg,13,13,0.23639070875521143,0.0008284997581273735,0.0025168821692674722
bertmeyers,4,4,0.23963688229875493,0.0,0.0027308233721470704
monikacausholli,10,10,0.24381104490447814,0.0032158814843559168,0.0038242715330178497
lisagang,5,5,0.20712328767123286,0.001239706159878088,0.0035225478604955463
phillipplatter,5,5,0.241108039972056,0.0,0.0025031342479483283
ericlinder,3,3,0.23435285781766652,0.0,0.0020020889407277066
carolstclair,27,27,0.34087688409842404,0.007826590112133719,0.00903838367205982
geraldnemec,31,31,0.33152355496157704,0.02239759147498278,0.009723221233936385
billrapp,1,1,0.0,0.0,0.0013463182540919456
kaymann,21,21,0.31337096837866646,0.00157705980329683,0.005431249627865035
marketaylor,8,8,0.30630908740111906,5.259996221913704e-05,0.0032843167188055748
marieheard,13,13,0.29548838594401433,0.0005128465724920367,0.005403752523111068
tanajones,49,49,0.3576964671953857,0.05323528366071999,0.01544782615047701
susanbailey,11,11,0.2678318375059046,5.0759365722150236e-05,0.004907460182935747
stephaniepanus,12,12,0.2684931506849315,6.807947279190304e-05,0.005211002055487313
vcharlesweldon,19,19,0.29152741562304896,0.005901223052044559,0.004459616399167534
stevenmerris,2,2,0.23655803584523777,0.0,0.0017881477378481087
markmcconnell,3,3,0.23639070875521143,4.1748867709577924e-05,0.001706431284432403
richardring,2,2,0.2775693536174021,0.0,0.0021359414793415818
